"ID","ObservationTime","ObservationDate","ScreenTemperature","SiteName"
"4000920","15","2015-01-08T00:00:00","5.10","CASTLEDERG (3904)"
"4001060","16","2015-01-08T00:00:00","5.10","CASTLEDERG (3904)"
"4001199","17","2015-01-08T00:00:00","5.60","CASTLEDERG (3904)"
"4001337","18","2015-01-08T00:00:00","6.20","CASTLEDERG (3904)"
"4001476","19","2015-01-08T00:00:00","6.80","CASTLEDERG (3904)"
"4001614","20","2015-01-08T00:00:00","6.40","CASTLEDERG (3904)"
"4001752","21","2015-01-08T00:00:00","6.30","CASTLEDERG (3904)"
"4001890","22","2015-01-08T00:00:00","7.50","CASTLEDERG (3904)"
"4002029","23","2015-01-08T00:00:00","9.60","CASTLEDERG (3904)"
"4002166","0","2015-01-09T00:00:00","10.70","CASTLEDERG (3904)"
"4002302","1","2015-01-09T00:00:00","8.80","CASTLEDERG (3904)"
"4002438","2","2015-01-09T00:00:00","8.50","CASTLEDERG (3904)"
"4002573","3","2015-01-09T00:00:00","8.40","CASTLEDERG (3904)"
"4002708","4","2015-01-09T00:00:00","8.70","CASTLEDERG (3904)"
"4002842","5","2015-01-09T00:00:00","8.60","CASTLEDERG (3904)"
"4002977","6","2015-01-09T00:00:00","8.50","CASTLEDERG (3904)"
"4003109","7","2015-01-09T00:00:00","8.20","CASTLEDERG (3904)"
"4003242","8","2015-01-09T00:00:00","7.80","CASTLEDERG (3904)"
"4003375","9","2015-01-09T00:00:00","7.80","CASTLEDERG (3904)"
"4003510","10","2015-01-09T00:00:00","6.60","CASTLEDERG (3904)"
"4003644","11","2015-01-09T00:00:00","6.10","CASTLEDERG (3904)"
"4003779","12","2015-01-09T00:00:00","6.30","CASTLEDERG (3904)"
"4003915","13","2015-01-09T00:00:00","9.10","CASTLEDERG (3904)"
"4004052","14","2015-01-09T00:00:00","12.50","CASTLEDERG (3904)"
"4004187","15","2015-01-09T00:00:00","12.60","CASTLEDERG (3904)"
"4004322","16","2015-01-09T00:00:00","12.40","CASTLEDERG (3904)"
"4004459","17","2015-01-09T00:00:00","12.60","CASTLEDERG (3904)"
"4004596","18","2015-01-09T00:00:00","12.60","CASTLEDERG (3904)"
"4004732","19","2015-01-09T00:00:00","12.30","CASTLEDERG (3904)"
"4004869","20","2015-01-09T00:00:00","12.30","CASTLEDERG (3904)"
"4005006","21","2015-01-09T00:00:00","12.40","CASTLEDERG (3904)"
